raw_name,market_guess,theme_guess,note
한선엔지니어링,KR,Power/Hydrogen,user_supplied_watchlist
현대그린푸드,KR,Consumer,user_supplied_watchlist
두산로보틱스,KR,Robotics,user_supplied_watchlist
OCI,KR,Solar Materials,user_supplied_watchlist
우진엔텍,KR,Nuclear/Power,user_supplied_watchlist
에스오에스랩,KR,Autonomous,user_supplied_watchlist
오가노이드사이언스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
나라스페이스테크놀로지,KR_CANDIDATE,Watchlist,user_supplied_watchlist
큐브엔텍,KR_CANDIDATE,Watchlist,user_supplied_watchlist
드론플라이,KR_CANDIDATE,Watchlist,user_supplied_watchlist
동서발전,KR_CANDIDATE,Watchlist,user_supplied_watchlist
GS파워,KR_CANDIDATE,Watchlist,user_supplied_watchlist
한미전기,KR_CANDIDATE,Watchlist,user_supplied_watchlist
아이크로스큐,KR_CANDIDATE,Watchlist,user_supplied_watchlist
서부발전,KR_CANDIDATE,Watchlist,user_supplied_watchlist
한국과학기술원 관련 산학기업,KR_CANDIDATE,Watchlist,user_supplied_watchlist
카카오엔터프라이즈,KR_CANDIDATE,Watchlist,user_supplied_watchlist
중부발전,KR_CANDIDATE,Watchlist,user_supplied_watchlist
남부발전,KR_CANDIDATE,Watchlist,user_supplied_watchlist
네이버클라우드,KR_CANDIDATE,Watchlist,user_supplied_watchlist
포스코건설,KR_CANDIDATE,Watchlist,user_supplied_watchlist
포스코에너지,KR_CANDIDATE,Watchlist,user_supplied_watchlist
퀀텀에너지연구소,KR_CANDIDATE,Watchlist,user_supplied_watchlist
퀀텀테크코리아,KR_CANDIDATE,Watchlist,user_supplied_watchlist
삼양컴텍,KR_CANDIDATE,Watchlist,user_supplied_watchlist
SK에코플랜트,KR_CANDIDATE,Watchlist,user_supplied_watchlist
SK E&S,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
유콘시스템,KR_CANDIDATE,Watchlist,user_supplied_watchlist
ASML,US,Semiconductor,user_supplied_watchlist
Stellantis,US,EV/Auto,user_supplied_watchlist
로사톰,KR_CANDIDATE,Watchlist,user_supplied_watchlist
사브,KR_CANDIDATE,Watchlist,user_supplied_watchlist
AstraZeneca,US,Pharma,user_supplied_watchlist
BAE Systems,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
바클레이즈,US,Bank,user_supplied_watchlist
HSBC,US,Bank,user_supplied_watchlist
Apple,US,Big Tech,user_supplied_watchlist
C3.ai,US,AI Software,user_supplied_watchlist
Applied Materials,US,Semiconductor,user_supplied_watchlist
AMD,US,AI Semiconductor,user_supplied_watchlist
Amgen,US,Biotech,user_supplied_watchlist
Amazon,US,Big Tech,user_supplied_watchlist
AST 스페이스모바일,US,Space,user_supplied_watchlist
Aurora Innovation,US,Autonomous,user_supplied_watchlist
AeroVironment,US,Drone,user_supplied_watchlist
Broadcom,US,AI Semiconductor,user_supplied_watchlist
보잉,US,Aerospace/Defense,user_supplied_watchlist
Alibaba,US,China Tech,user_supplied_watchlist
뱅크오브아메리카,US,Bank,user_supplied_watchlist
Bloom Energy,US,Hydrogen,user_supplied_watchlist
Boston Dynamics,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
씨티그룹,KR_CANDIDATE,Watchlist,user_supplied_watchlist
카메코,KR_CANDIDATE,Watchlist,user_supplied_watchlist
코브라케이블,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Cisco,US,Network Infrastructure,user_supplied_watchlist
Canadian Solar,US,Renewable Energy,user_supplied_watchlist
케이블&와이어즈,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Dell,US,AI Infrastructure,user_supplied_watchlist
듀크에너지,US,Power Grid,user_supplied_watchlist
엘빗시스템즈,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Ford,US,EV/Auto,user_supplied_watchlist
Figure AI,GLOBAL_CANDIDATE,AI Semiconductor,user_supplied_watchlist
파이어플라이 에어로스페이스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
First Solar,US,Renewable Energy,user_supplied_watchlist
제너럴 다이내믹스,US,Aerospace/Defense,user_supplied_watchlist
GE Vernova,US,Power Grid,user_supplied_watchlist
Gilead Sciences,US,Biotech,user_supplied_watchlist
General Motors,US,EV/Auto,user_supplied_watchlist
Alphabet,US,Big Tech,user_supplied_watchlist
골드만삭스,US,Bank,user_supplied_watchlist
글로벌스타,US,Space,user_supplied_watchlist
헬리오스와이어,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Honeywell,US,Aerospace/Industrial,user_supplied_watchlist
HP,US,PC/Hardware,user_supplied_watchlist
IBM,US,Enterprise AI,user_supplied_watchlist
Intel,US,AI Semiconductor,user_supplied_watchlist
IonQ,US,Quantum Computing,user_supplied_watchlist
iRobot,US,Robotics,user_supplied_watchlist
Intuitive Surgical,US,Medical Robot,user_supplied_watchlist
Johnson & Johnson,US,Pharma,user_supplied_watchlist
JP모건체이스,US,Bank,user_supplied_watchlist
KEPCO ADR,US,Power,user_supplied_watchlist
카르만 홀딩스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Kratos Defense,US,Drone/Defense,user_supplied_watchlist
Lucid,US,EV,user_supplied_watchlist
Eli Lilly,US,Pharma,user_supplied_watchlist
록히드마틴,US,Aerospace/Defense,user_supplied_watchlist
Lam Research,US,Semiconductor,user_supplied_watchlist
인튜이티브 머신스,US,Space,user_supplied_watchlist
Mobileye,US,Autonomous,user_supplied_watchlist
Meta,US,Big Tech,user_supplied_watchlist
Moderna,US,Biotech,user_supplied_watchlist
모건스탠리,US,Bank,user_supplied_watchlist
Microsoft,US,AI Software,user_supplied_watchlist
Micron,US,Memory/HBM,user_supplied_watchlist
넥스트에라에너지,US,Renewable Energy,user_supplied_watchlist
노스럽그루먼,US,Aerospace/Defense,user_supplied_watchlist
NVIDIA,US,AI Semiconductor,user_supplied_watchlist
Oracle,US,Cloud/AI,user_supplied_watchlist
PG&E,US,Power Grid,user_supplied_watchlist
Pfizer,US,Pharma,user_supplied_watchlist
플래닛 랩스,US,Satellite,user_supplied_watchlist
Palantir,US,Defense AI,user_supplied_watchlist
Plug Power,US,Hydrogen,user_supplied_watchlist
D-Wave Quantum,US,Quantum Computing,user_supplied_watchlist
Qualcomm,US,AI Edge,user_supplied_watchlist
레드와이어,US,Space,user_supplied_watchlist
RealSense,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
